snapshot_time_utc,model_version,calibration_method,Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,favorite,favorite_probability
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-28,2026/27,Nott'm Forest,Chelsea,0.5311389565467834,0.15066133439540863,0.3181997239589691,H,0.5311389565467834
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-28,2026/27,Leeds,Coventry,0.602142333984375,0.18049855530261993,0.21735911071300507,H,0.602142333984375
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-28,2026/27,Sunderland,Tottenham,0.516647458076477,0.24931548535823822,0.23403705656528473,H,0.516647458076477
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-11-28,2026/27,Ipswich,Aston Villa,0.5726224184036255,0.2414422482252121,0.18593533337116241,H,0.5726224184036255
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-02,2026/27,Chelsea,Crystal Palace,0.6223328113555908,0.15940402448177338,0.21826323866844177,H,0.6223328113555908
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-02,2026/27,Aston Villa,Everton,0.2241324633359909,0.1473550945520401,0.628512442111969,A,0.628512442111969
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-02,2026/27,Bournemouth,Brighton,0.5267660021781921,0.14219030737876892,0.33104372024536133,H,0.5267660021781921
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-02,2026/27,Brentford,Arsenal,0.41952577233314514,0.22710822522640228,0.3533659875392914,H,0.41952577233314514
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-02,2026/27,Coventry,Ipswich,0.4651048481464386,0.19149571657180786,0.34339940547943115,H,0.4651048481464386
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-02,2026/27,Hull,Nott'm Forest,0.3415438234806061,0.25740620493888855,0.40105000138282776,A,0.40105000138282776
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-02,2026/27,Man City,Leeds,0.6739122867584229,0.14803892374038696,0.17804878950119019,H,0.6739122867584229
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-02,2026/27,Newcastle,Man United,0.24121466279029846,0.17036928236484528,0.5884160995483398,A,0.5884160995483398
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-02,2026/27,Tottenham,Fulham,0.3958379924297333,0.25278574228286743,0.3513762950897217,H,0.3958379924297333
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-02,2026/27,Liverpool,Sunderland,0.4737497866153717,0.1737748086452484,0.3524754047393799,H,0.4737497866153717
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-05,2026/27,Chelsea,Liverpool,0.5595675110816956,0.1833837628364563,0.25704872608184814,H,0.5595675110816956
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-05,2026/27,Bournemouth,Hull,0.6360054016113281,0.19319553673267365,0.17079909145832062,H,0.6360054016113281
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-05,2026/27,Everton,Fulham,0.5522786378860474,0.24452511966228485,0.2031961977481842,H,0.5522786378860474
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-05,2026/27,Aston Villa,Crystal Palace,0.42011359333992004,0.1893054097890854,0.39058101177215576,H,0.42011359333992004
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-05,2026/27,Brentford,Man City,0.43479663133621216,0.27237704396247864,0.2928263545036316,H,0.43479663133621216
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-05,2026/27,Nott'm Forest,Brighton,0.43590179085731506,0.17550361156463623,0.3885946273803711,H,0.43590179085731506
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-05,2026/27,Newcastle,Sunderland,0.35471948981285095,0.194057434797287,0.4512230455875397,A,0.4512230455875397
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-05,2026/27,Man United,Coventry,0.8247383832931519,0.09661737829446793,0.07864419370889664,H,0.8247383832931519
2026-09-25T15:21:32.088568+00:00,xg_schedule_elo_shot_volume,raw,2026-12-05,2026/27,Leeds,Ipswich,0.5629353523254395,0.20570866763591766,0.2313559651374817,H,0.5629353523254395
