team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,points,actual_position,season,model_variant,position_error,points_error
Burnley,41.1905,14.7054,0.0,0.0008,0.0058,0.208,41.284135431051254,24,19,2324,current_plus_elo,4.294600000000001,17.1905
Bournemouth,39.3087,15.3969,0.0,0.0004,0.0035,0.289,39.426887542009354,48,13,2324,current_plus_elo,2.3969000000000005,8.691299999999998
West Ham,39.4548,15.6924,0.0,0.0003,0.0022,0.3173,39.37168090417981,52,9,2324,current_plus_elo,6.692399999999999,12.545200000000001
Nott'm Forest,37.6051,16.2776,0.0,0.0,0.0013,0.3965,37.59182121232152,36,17,2324,current_plus_elo,0.7224000000000004,1.6051000000000002
Sheffield United,31.8745,18.1704,0.0,0.0,0.0001,0.7231,31.887181285768747,16,20,2324,current_plus_elo,1.8295999999999992,15.874500000000001
Wolves,32.0372,18.247,0.0,0.0,0.0001,0.7309,31.998995758593082,46,15,2324,current_plus_elo,3.247,13.962800000000001
Liverpool,74.3386,2.5723,0.3653,0.8582,0.9613,0.0,74.2818449210304,82,3,2324,current_plus_elo_calibrated,0.4277000000000002,7.6614
Newcastle,71.9777,3.2412,0.2214,0.7618,0.9278,0.0,71.79991192981636,60,7,2324,current_plus_elo_calibrated,3.7588,11.977699999999999
Man United,70.5267,3.6039,0.1756,0.7102,0.8946,0.0,70.56583110278433,60,8,2324,current_plus_elo_calibrated,4.396100000000001,10.526700000000005
Arsenal,67.2541,4.3979,0.1092,0.5718,0.8244,0.0002,67.23638225052954,89,2,2324,current_plus_elo_calibrated,2.3979,21.745900000000006
Man City,66.95,4.6499,0.0882,0.5333,0.7946,0.0003,67.02443504927501,91,1,2324,current_plus_elo_calibrated,3.6498999999999997,24.049999999999997
Aston Villa,61.3802,6.4287,0.0253,0.2682,0.5588,0.0013,61.383562814504245,68,4,2324,current_plus_elo_calibrated,2.4287,6.619799999999998
Brentford,55.7606,8.7429,0.0056,0.0896,0.2676,0.0113,55.84516983436775,39,16,2324,current_plus_elo_calibrated,7.257099999999999,16.760599999999997
Tottenham,56.4248,8.766,0.0058,0.0896,0.267,0.0099,56.25174691083793,66,5,2324,current_plus_elo_calibrated,3.766,9.575200000000002
Crystal Palace,51.9571,10.576,0.0013,0.0334,0.1299,0.0399,51.96750636506014,49,10,2324,current_plus_elo_calibrated,0.5760000000000005,2.957099999999997
Brighton,51.3787,10.7421,0.0012,0.0303,0.1144,0.037,51.509440109734044,48,11,2324,current_plus_elo_calibrated,0.25789999999999935,3.378700000000002
Everton,50.2631,11.4046,0.0005,0.0196,0.0849,0.0512,50.140802266738454,48,12,2324,current_plus_elo_calibrated,0.5953999999999997,2.2631000000000014
Burnley,48.1276,12.3016,0.0002,0.0124,0.0611,0.0872,48.26365000008563,24,19,2324,current_plus_elo_calibrated,6.6983999999999995,24.1276
Fulham,46.1687,13.3547,0.0001,0.0064,0.0335,0.1366,46.05716484720938,47,14,2324,current_plus_elo_calibrated,0.6453000000000007,0.8312999999999988
Chelsea,45.5977,13.5143,0.0001,0.0072,0.0299,0.1537,45.64539266915933,63,6,2324,current_plus_elo_calibrated,7.5143,17.402299999999997
Luton,45.3964,13.7233,0.0001,0.004,0.0244,0.1619,45.5439257356268,26,18,2324,current_plus_elo_calibrated,4.2767,19.3964
Bournemouth,41.8646,15.0614,0.0001,0.0023,0.0124,0.2931,41.97149752307396,48,13,2324,current_plus_elo_calibrated,2.061400000000001,6.135399999999997
Nott'm Forest,41.1628,15.6344,0.0,0.0009,0.0067,0.3488,41.07839062721625,36,17,2324,current_plus_elo_calibrated,1.3656000000000006,5.162799999999997
West Ham,40.1828,16.1279,0.0,0.0006,0.0048,0.4101,40.145597460737484,52,9,2324,current_plus_elo_calibrated,7.1279,11.8172
