match_id,season,date,team,formation,manager,source,source_collected_at
2425_20241027_crystal_palace_tottenham,2425,2024-10-27,Crystal Palace,,,fbref_soccerdata,2024-10-28
2425_20241027_crystal_palace_tottenham,2425,2024-10-27,Tottenham,,,fbref_soccerdata,2024-10-28
2425_20241027_west_ham_man_united,2425,2024-10-27,West Ham,,,fbref_soccerdata,2024-10-28
2425_20241027_west_ham_man_united,2425,2024-10-27,Man United,,,fbref_soccerdata,2024-10-28
2425_20241102_bournemouth_man_city,2425,2024-11-02,Bournemouth,,,fbref_soccerdata,2024-11-03
2425_20241102_bournemouth_man_city,2425,2024-11-02,Man City,,,fbref_soccerdata,2024-11-03
2425_20241102_ipswich_leicester,2425,2024-11-02,Ipswich,,,fbref_soccerdata,2024-11-03
2425_20241102_ipswich_leicester,2425,2024-11-02,Leicester,,,fbref_soccerdata,2024-11-03
2425_20241102_liverpool_brighton,2425,2024-11-02,Liverpool,,,fbref_soccerdata,2024-11-03
2425_20241102_liverpool_brighton,2425,2024-11-02,Brighton,,,fbref_soccerdata,2024-11-03
2425_20241102_newcastle_arsenal,2425,2024-11-02,Newcastle,,,fbref_soccerdata,2024-11-03
2425_20241102_newcastle_arsenal,2425,2024-11-02,Arsenal,,,fbref_soccerdata,2024-11-03
2425_20241102_nottm_forest_west_ham,2425,2024-11-02,Nott'm Forest,,,fbref_soccerdata,2024-11-03
2425_20241102_nottm_forest_west_ham,2425,2024-11-02,West Ham,,,fbref_soccerdata,2024-11-03
2425_20241102_southampton_everton,2425,2024-11-02,Southampton,,,fbref_soccerdata,2024-11-03
2425_20241102_southampton_everton,2425,2024-11-02,Everton,,,fbref_soccerdata,2024-11-03
2425_20241102_wolves_crystal_palace,2425,2024-11-02,Wolves,,,fbref_soccerdata,2024-11-03
2425_20241102_wolves_crystal_palace,2425,2024-11-02,Crystal Palace,,,fbref_soccerdata,2024-11-03
2425_20241103_man_united_chelsea,2425,2024-11-03,Man United,,,fbref_soccerdata,2024-11-04
2425_20241103_man_united_chelsea,2425,2024-11-03,Chelsea,,,fbref_soccerdata,2024-11-04
