Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,squad_strength_prior_weight,home_squad_strength_score,away_squad_strength_score,squad_strength_diff
2027-01-23,2026/27,Leeds,Chelsea,0.45714105932087656,0.26986870589144374,0.27299023478767975,0.025,0.5032106679166529,0.9339182431634738,-0.4307075752468209
2027-01-30,2026/27,Aston Villa,Ipswich,0.3474202088856043,0.2969112618011679,0.3556685293132278,0.025,0.6530679997643404,0.3042436157500667,0.3488243840142737
2027-01-30,2026/27,Bournemouth,Fulham,0.4877801223634814,0.2795286457597508,0.2326912318767679,0.025,0.676850904932348,0.5004370086606525,0.17641389627169546
2027-01-30,2026/27,Brentford,Man United,0.24400022435563803,0.2617900512134541,0.49420972443090777,0.025,0.6225140877503055,0.7854689788300634,-0.1629548910797579
2027-01-30,2026/27,Chelsea,Nott'm Forest,0.48166285479455406,0.2664809355627745,0.25185620964267136,0.025,0.9339182431634738,0.6847902801698104,0.24912796299366347
2027-01-30,2026/27,Coventry,Leeds,0.3059735215013118,0.28681662243023187,0.4072098560684563,0.025,0.2691907680537146,0.5032106679166529,-0.2340198998629383
2027-01-30,2026/27,Hull,Crystal Palace,0.5045730137965716,0.2600814334066597,0.23534555279676872,0.025,0.0,0.6681914087020531,-0.6681914087020531
2027-01-30,2026/27,Liverpool,Everton,0.5613536539414421,0.25281608050467397,0.18583026555388407,0.025,0.8703170526167026,0.5837357090144661,0.2865813436022364
2027-01-30,2026/27,Man City,Arsenal,0.47934044558074285,0.2817540948406711,0.23890545957858605,0.025,1.0,0.9792194884200927,0.020780511579907346
2027-01-30,2026/27,Newcastle,Brighton,0.2869852002878019,0.2640667292831599,0.4489480704290382,0.025,0.7560965508449361,0.6777263169997666,0.0783702338451695
2027-01-30,2026/27,Tottenham,Sunderland,0.3275884519676161,0.29986662925008223,0.3725449187823017,0.025,0.7580903593798862,0.5315033133148145,0.22658704606507174
2027-02-06,2026/27,Arsenal,Liverpool,0.5831113209666428,0.24276096560964527,0.17412771342371203,0.025,0.9792194884200927,0.8703170526167026,0.1089024358033901
2027-02-06,2026/27,Brighton,Hull,0.4948634124868774,0.22635917975993203,0.2787774077531907,0.025,0.6777263169997666,0.0,0.6777263169997666
2027-02-06,2026/27,Crystal Palace,Coventry,0.5276303028944603,0.24759765941462067,0.22477203769091908,0.025,0.6681914087020531,0.2691907680537146,0.39900064064833846
2027-02-06,2026/27,Everton,Newcastle,0.44509128813095256,0.27073122636015395,0.28417748550889343,0.025,0.5837357090144661,0.7560965508449361,-0.17236084183046996
2027-02-06,2026/27,Fulham,Man City,0.16165673315140258,0.252216433511914,0.5861268333366835,0.025,0.5004370086606525,1.0,-0.49956299133934745
2027-02-06,2026/27,Ipswich,Tottenham,0.4306255290483054,0.2405451683950747,0.32882930255661996,0.025,0.3042436157500667,0.7580903593798862,-0.4538467436298195
2027-02-06,2026/27,Leeds,Bournemouth,0.3932814615098304,0.27544549891438863,0.33127303957578097,0.025,0.5032106679166529,0.676850904932348,-0.1736402370156951
2027-02-06,2026/27,Man United,Chelsea,0.6178900128656594,0.23802499469892316,0.14408499243541745,0.025,0.7854689788300634,0.9339182431634738,-0.14844926433341044
2027-02-06,2026/27,Nott'm Forest,Brentford,0.3885737461174195,0.3008338668290621,0.31059238705351827,0.025,0.6847902801698104,0.6225140877503055,0.06227619241950488
