team,expected_points,expected_position,title_probability,top_4_probability,top_6_probability,relegation_probability,expected_points_deterministic,points,actual_position,season,model_variant,position_error,points_error
Wolves,35.295,17.863,0.0,0.0,0.0,0.662,35.188570541837215,46,15,2324,current_plus_elo_calibrated,2.8629999999999995,10.704999999999998
Man City,82.082,1.752,0.582,0.965,0.998,0.0,82.12726341187954,71,3,2425,current_without_elo,1.248,11.081999999999994
Newcastle,76.231,2.956,0.18,0.831,0.973,0.0,76.24606192857027,66,5,2425,current_without_elo,2.044,10.230999999999995
Arsenal,73.441,3.404,0.12,0.749,0.949,0.0,73.37456301599741,74,2,2425,current_without_elo,1.404,0.5589999999999975
Crystal Palace,68.967,4.667,0.045,0.486,0.831,0.0,68.79074167460203,53,12,2425,current_without_elo,7.333,15.966999999999999
Chelsea,67.946,4.948,0.036,0.432,0.809,0.0,67.62964880466461,69,4,2425,current_without_elo,0.9480000000000004,1.054000000000002
Liverpool,67.551,5.118,0.035,0.408,0.77,0.0,67.57690243795514,84,1,2425,current_without_elo,4.118,16.448999999999998
Tottenham,56.369,8.919,0.002,0.049,0.2,0.005,56.02892582118511,38,17,2425,current_without_elo,8.081,18.369
Brentford,54.531,9.307,0.0,0.031,0.172,0.011,54.44854764640331,56,10,2425,current_without_elo,0.6929999999999996,1.4690000000000012
Nott'm Forest,52.36,10.393,0.0,0.015,0.098,0.021,52.29687114059925,65,7,2425,current_without_elo,3.3930000000000007,12.64
Leicester,49.983,11.367,0.0,0.009,0.058,0.045,50.10436777770519,25,18,2425,current_without_elo,6.632999999999999,24.982999999999997
Bournemouth,48.9,11.605,0.0,0.005,0.049,0.041,48.80805020779371,56,9,2425,current_without_elo,2.6050000000000004,7.100000000000001
Everton,48.757,11.748,0.0,0.007,0.041,0.054,48.501140013337135,48,13,2425,current_without_elo,1.2520000000000007,0.7569999999999979
Brighton,47.055,12.438,0.0,0.007,0.031,0.073,47.36424821615219,61,8,2425,current_without_elo,4.438000000000001,13.945
Fulham,43.746,13.971,0.0,0.002,0.007,0.153,43.59654465317726,54,11,2425,current_without_elo,2.971,10.253999999999998
Aston Villa,43.052,14.063,0.0,0.003,0.01,0.149,43.20411070808768,66,6,2425,current_without_elo,8.063,22.948
Man United,43.567,14.179,0.0,0.001,0.004,0.172,43.76700473576784,42,15,2425,current_without_elo,0.8209999999999997,1.5670000000000002
Ipswich,38.279,16.118,0.0,0.0,0.0,0.393,38.503138303756714,22,19,2425,current_without_elo,2.8820000000000014,16.279000000000003
West Ham,37.187,16.736,0.0,0.0,0.0,0.466,37.18617255240679,43,14,2425,current_without_elo,2.7360000000000007,5.813000000000002
Southampton,34.414,17.761,0.0,0.0,0.0,0.637,34.681521609425545,12,20,2425,current_without_elo,2.2390000000000008,22.414
Wolves,31.382,18.55,0.0,0.0,0.0,0.78,31.35510617122054,42,16,2425,current_without_elo,2.5500000000000007,10.617999999999999
Man City,84.539,1.714,0.577,0.978,1.0,0.0,84.54941091686487,71,3,2425,current_plus_elo,1.286,13.539000000000001
Arsenal,79.833,2.355,0.283,0.919,0.993,0.0,79.92197092995048,74,2,2425,current_plus_elo,0.355,5.832999999999998
