Date,Season,HomeTeam,AwayTeam,home_win_probability,draw_probability,away_win_probability,model_variant
2022-02-10,2122,Liverpool,Leicester,0.5440731644630432,0.2020706832408905,0.2538561522960663,current_plus_elo
2022-02-10,2122,Wolves,Arsenal,0.09945503622293472,0.7854365110397339,0.11510848253965378,current_plus_elo
2022-02-12,2122,Everton,Leeds,0.17607393860816956,0.5371076464653015,0.2868184447288513,current_plus_elo
2022-02-12,2122,Brentford,Crystal Palace,0.16801388561725616,0.1654336154460907,0.6665525436401367,current_plus_elo
2022-02-12,2122,Norwich,Man City,0.10235870629549026,0.06015854701399803,0.837482750415802,current_plus_elo
2022-02-12,2122,Watford,Brighton,0.40779557824134827,0.21009257435798645,0.3821118474006653,current_plus_elo
2022-02-12,2122,Man United,Southampton,0.32121339440345764,0.12609010934829712,0.5526965260505676,current_plus_elo
2022-02-13,2122,Burnley,Liverpool,0.09789253026247025,0.39936336874961853,0.5027440786361694,current_plus_elo
2022-02-13,2122,Newcastle,Aston Villa,0.5938037633895874,0.1770249754190445,0.2291712909936905,current_plus_elo
2022-02-13,2122,Tottenham,Wolves,0.6161953806877136,0.1632927656173706,0.22051185369491577,current_plus_elo
2022-02-13,2122,Leicester,West Ham,0.22443565726280212,0.1282198280096054,0.6473445296287537,current_plus_elo
2022-02-15,2122,Man United,Brighton,0.46890130639076233,0.14941683411598206,0.3816818296909332,current_plus_elo
2022-02-19,2122,Arsenal,Brentford,0.7383840084075928,0.10826877504587173,0.1533471792936325,current_plus_elo
2022-02-19,2122,Aston Villa,Watford,0.4863274097442627,0.2086130529642105,0.3050595819950104,current_plus_elo
2022-02-19,2122,Brighton,Burnley,0.3439280092716217,0.36409685015678406,0.2919751703739166,current_plus_elo
2022-02-19,2122,West Ham,Newcastle,0.7142301201820374,0.14828088879585266,0.13748905062675476,current_plus_elo
2022-02-19,2122,Liverpool,Norwich,0.7125166058540344,0.19578559696674347,0.09169776737689972,current_plus_elo
2022-02-19,2122,Southampton,Everton,0.3570374846458435,0.21226061880588531,0.4307019114494324,current_plus_elo
2022-02-19,2122,Man City,Tottenham,0.5954240560531616,0.14805935323238373,0.25651657581329346,current_plus_elo
2022-02-19,2122,Crystal Palace,Chelsea,0.23945246636867523,0.2421974092721939,0.5183501243591309,current_plus_elo
2022-02-20,2122,Leeds,Man United,0.24292050302028656,0.27133119106292725,0.4857482612133026,current_plus_elo
2022-02-20,2122,Wolves,Leicester,0.17994631826877594,0.259245365858078,0.5608083009719849,current_plus_elo
2022-02-23,2122,Liverpool,Leeds,0.8003314137458801,0.12138097733259201,0.07828761637210846,current_plus_elo
2022-02-23,2122,Burnley,Tottenham,0.3267016112804413,0.2211809605360031,0.4521174430847168,current_plus_elo
2022-02-23,2122,Watford,Crystal Palace,0.32336291670799255,0.209224671125412,0.46741244196891785,current_plus_elo
2022-02-24,2122,Arsenal,Wolves,0.6492695808410645,0.15297254920005798,0.19775791466236115,current_plus_elo
2022-02-25,2122,Southampton,Norwich,0.7575781941413879,0.09345469623804092,0.14896713197231293,current_plus_elo
2022-02-26,2122,Brighton,Aston Villa,0.5213196277618408,0.2361818104982376,0.24249862134456635,current_plus_elo
2022-02-26,2122,Leeds,Tottenham,0.43619605898857117,0.22587977349758148,0.33792421221733093,current_plus_elo
2022-02-26,2122,Everton,Man City,0.16265404224395752,0.2084330916404724,0.6289128661155701,current_plus_elo
2022-02-26,2122,Crystal Palace,Burnley,0.279031902551651,0.2974737882614136,0.4234943389892578,current_plus_elo
2022-02-26,2122,Brentford,Newcastle,0.1571647971868515,0.30922314524650574,0.533612072467804,current_plus_elo
2022-02-26,2122,Man United,Watford,0.24544472992420197,0.13280120491981506,0.6217540502548218,current_plus_elo
2022-02-27,2122,West Ham,Wolves,0.6982481479644775,0.19742433726787567,0.10432752966880798,current_plus_elo
2022-03-01,2122,Burnley,Leicester,0.2493210881948471,0.23521599173545837,0.5154629349708557,current_plus_elo
2022-03-05,2122,Burnley,Chelsea,0.23077064752578735,0.21036450564861298,0.5588648915290833,current_plus_elo
2022-03-05,2122,Aston Villa,Southampton,0.5252485871315002,0.1827147752046585,0.29203668236732483,current_plus_elo
2022-03-05,2122,Leicester,Leeds,0.16175039112567902,0.5156883597373962,0.32256126403808594,current_plus_elo
2022-03-05,2122,Newcastle,Brighton,0.5323654413223267,0.26497727632522583,0.2026573121547699,current_plus_elo
2022-03-05,2122,Norwich,Brentford,0.5773573517799377,0.08581860363483429,0.33682405948638916,current_plus_elo
2022-03-05,2122,Liverpool,West Ham,0.7287534475326538,0.14002768695354462,0.13121889531612396,current_plus_elo
2022-03-05,2122,Wolves,Crystal Palace,0.22920283675193787,0.3073866367340088,0.46341055631637573,current_plus_elo
